model,role,task,run,found,total,false_positives,latency_s,input_tokens,output_tokens,cost,pi_status
ollama-cloud/glm-5.2,spec,spec-defects,3,4,4,0,29,12186,1594,0.024074,0
ollama-cloud/glm-5.2,spec,spec-clean,1,0,0,0,14,16702,1610,0.030467,0
ollama-cloud/glm-5.2,spec,spec-clean,2,0,0,0,15,26379,1692,0.044375,0
ollama-cloud/glm-5.2,spec,spec-clean,3,0,0,0,10,29558,825,0.045011,0
ollama-cloud/deepseek-v4-flash,taste,taste-defects,1,4,4,0,24,20543,2984,0.003712,0
ollama-cloud/deepseek-v4-flash,taste,taste-defects,2,4,4,0,25,28851,3323,0.004970,0
ollama-cloud/deepseek-v4-flash,taste,taste-defects,3,4,4,0,25,14831,2951,0.002903,0
ollama-cloud/deepseek-v4-flash,taste,taste-clean,1,0,0,0,18,23385,2756,0.004046,0
ollama-cloud/deepseek-v4-flash,taste,taste-clean,2,0,0,0,21,23386,2095,0.003861,0
ollama-cloud/deepseek-v4-flash,taste,taste-clean,3,0,0,0,58,31347,2442,0.005072,0
ollama-cloud/deepseek-v4-flash,spec,spec-defects,1,4,4,0,23,24448,2399,0.004094,0
ollama-cloud/deepseek-v4-flash,spec,spec-defects,2,4,4,0,20,24629,2702,0.004205,0
ollama-cloud/deepseek-v4-flash,spec,spec-defects,3,4,4,0,15,26246,2494,0.004373,0
ollama-cloud/deepseek-v4-flash,spec,spec-clean,1,0,0,0,34,38166,2843,0.006139,0
ollama-cloud/deepseek-v4-flash,spec,spec-clean,2,0,0,0,17,27427,2769,0.004615,0
ollama-cloud/deepseek-v4-flash,spec,spec-clean,3,0,0,0,17,30807,2693,0.005067,0
